,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,5,0,az Azerbaijan,,,42.0,23674.0,Victor Lindelöf,4-4-2,Stéphanie Frappart,Match Report,,15.0,6.0,1.0,13.0,8.0,19.0,9.0,10.0,sweden
2,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,2,at Austria,,,37.0,46300.0,Victor Lindelöf,4-4-2,Marco Guida,Match Report,,4.0,3.0,0.0,11.0,5.0,13.0,4.0,3.0,sweden
3,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,5,0,ee Estonia,,,67.0,11411.0,Victor Lindelöf,4-4-2,Horațiu Fesnic,Match Report,,19.0,10.0,1.0,7.0,9.0,24.0,5.0,3.0,sweden
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,1,3,at Austria,,,47.0,43228.0,Victor Lindelöf,4-4-2,Serdar Gözübüyük,Match Report,,17.0,4.0,1.0,10.0,10.0,24.0,12.0,8.0,sweden
5,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1,1,be Belgium,,,34.0,,Victor Lindelöf,4-4-2,Maurizio Mariani,Match Report,Match awarded to,13.0,6.0,1.0,8.0,5.0,5.0,7.0,5.0,sweden
6,2023-11-16,21:00,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,3,az Azerbaijan,,,64.0,5570.0,Victor Lindelöf,4-4-2,Esther Staubli,Match Report,,18.0,6.0,2.0,8.0,9.0,26.0,4.0,8.0,sweden
7,2023-11-19,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,ee Estonia,,,62.0,11201.0,Albin Ekdal,4-4-2,Fabio Maresca,Match Report,,15.0,4.0,1.0,13.0,8.0,31.0,4.0,6.0,sweden
8,2024-03-21,19:45,Friendlies (M),Friendlies (M),Thu,Away,L,2,5,pt Portugal,,,,27532.0,Victor Lindelöf,4-2-3-1,Ricardo de Burgos,Match Report,,,,0.0,,,,,,sweden
9,2024-03-25,19:00,Friendlies (M),Friendlies (M),Mon,Home,W,1,0,al Albania,,,,17892.0,Victor Lindelöf,4-1-4-1,Marcel Bîrsan,Match Report,,,,1.0,,,,,,sweden
10,2024-06-05,19:00,Friendlies (M),Friendlies (M),Wed,Away,L,1,2,dk Denmark,,,,35522.0,Victor Lindelöf,4-2-3-1,Kristoffer Hagenes,Match Report,,,,2.0,,,,,,sweden
11,2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Home,L,0,3,rs Serbia,,,,46956.0,Victor Lindelöf,3-4-3,Jasper Vergoote,Match Report,,,,1.0,,,,,,sweden
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,4,at Austria,,,49.0,16500.0,Emin Mahmudov,4-2-3-1,Bartosz Frankowski,Match Report,,5.0,3.0,5.0,19.0,11.0,8.0,8.0,10.0,azerbaijan
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,5,se Sweden,,,58.0,23674.0,Emin Mahmudov,4-3-3,Stéphanie Frappart,Match Report,,4.0,1.0,2.0,8.0,12.0,8.0,15.0,11.0,azerbaijan
2,2023-06-17,20:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,1,1,ee Estonia,,,62.0,3900.0,Emin Mahmudov,4-3-3,Ondřej Berka,Match Report,,11.0,3.0,1.0,13.0,15.0,9.0,8.0,7.0,azerbaijan
3,2023-09-09,17:00,UEFA Euro Qualifying,Group stage,Sat,Home,L,0,1,be Belgium,,,46.0,4500.0,Emin Mahmudov,4-1-4-1,Nenad Minaković,Match Report,,9.0,4.0,1.0,15.0,8.0,12.0,7.0,13.0,azerbaijan
4,2023-10-13,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,W,2,0,ee Estonia,,,51.0,5652.0,Emin Mahmudov,3-4-1-2,Robert Schröder,Match Report,,9.0,4.0,3.0,12.0,14.0,10.0,5.0,9.0,azerbaijan
5,2023-10-16,20:00,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,1,at Austria,,,54.0,4446.0,Emin Mahmudov,3-4-1-2,Aristotelis Diamantopoulos,Match Report,,5.0,0.0,5.0,11.0,13.0,10.0,7.0,5.0,azerbaijan
6,2023-11-16,21:00,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,0,se Sweden,,,36.0,5570.0,Emin Mahmudov,4-4-1-1,Esther Staubli,Match Report,,8.0,3.0,3.0,9.0,7.0,7.0,12.0,7.0,azerbaijan
7,2023-11-19,18:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,5,be Belgium,,,25.0,30276.0,Emin Mahmudov,4-4-2,Gergő Bogár,Match Report,,1.0,0.0,3.0,7.0,13.0,4.0,8.0,5.0,azerbaijan
8,2024-06-07,19:00,Friendlies (M),Friendlies (M),Fri,Neutral,L,1,3,al Albania,,,,,Emin Mahmudov,4-2-3-1,Mihály Káprály,Match Report,,,,1.0,,,,,,azerbaijan
9,2024-06-11,16:00,Friendlies (M),Friendlies (M),Tue,Neutral,W,3,2,kz Kazakhstan,,,,,Emin Mahmudov,4-1-4-1,Bence Csonka,Match Report,,,,0.0,,,,,,azerbaijan
0,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,1,2,at Austria,,,34.0,16500.0,Konstantin Vassiljev,3-5-1-1,Enea Jorgji,Match Report,,7.0,3.0,3.0,10.0,10.0,6.0,13.0,13.0,estonia
1,2023-06-17,20:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,az Azerbaijan,,,38.0,3900.0,Konstantin Vassiljev,3-5-2,Ondřej Berka,Match Report,,13.0,6.0,2.0,15.0,13.0,18.0,7.0,7.0,estonia
2,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0,3,be Belgium,,,33.0,11772.0,Karol Mets,3-5-2,John Beaton,Match Report,,9.0,1.0,3.0,13.0,4.0,17.0,7.0,9.0,estonia
3,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Home,L,0,5,se Sweden,,,33.0,11411.0,Konstantin Vassiljev,3-5-1-1,Horațiu Fesnic,Match Report,,6.0,0.0,1.0,9.0,6.0,10.0,10.0,2.0,estonia
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,5,be Belgium,,,25.0,24127.0,Konstantin Vassiljev,3-4-3,Bartosz Frankowski,Match Report,,1.0,0.0,1.0,5.0,2.0,2.0,11.0,5.0,estonia
5,2023-10-13,19:00,UEFA Euro Qualifying,Group stage,Fri,Home,L,0,2,az Azerbaijan,,,49.0,5652.0,Konstantin Vassiljev,3-4-3,Robert Schröder,Match Report,,12.0,5.0,3.0,15.0,11.0,18.0,4.0,3.0,estonia
6,2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Home,L,0,2,at Austria,,,31.0,4488.0,Karol Mets,5-3-2,Nikola Dabanović,Match Report,,6.0,0.0,0.0,7.0,5.0,5.0,13.0,3.0,estonia
7,2023-11-19,18:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,se Sweden,,,38.0,11201.0,Karol Mets,3-4-3,Fabio Maresca,Match Report,,2.0,0.0,2.0,8.0,11.0,8.0,9.0,8.0,estonia
8,2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,L,1,5,pl Poland,,,15.0,,Karol Mets,5-3-2,Slavko Vinčič,Match Report,,1.0,1.0,2.0,8.0,5.0,3.0,12.0,4.0,estonia
9,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Away,L,1,2,fi Finland,,,,12559.0,Karl Jakob Hein,5-3-2,Mads-Kristoffer Kristoffersen,Match Report,,,,1.0,,,,,,estonia
10,2024-06-04,20:15,Friendlies (M),Friendlies (M),Tue,Away,L,0,4,ch Switzerland,,,,14473.0,Maksim Paskotši,5-4-1,Kyriakos Athanasiou,Match Report,,,,1.0,,,,,,estonia
0,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,bg Bulgaria,,,55.0,53000.0,Dominik Szoboszlai,3-4-3,Halil Umut Meler,Match Report,,14.0,9.0,0.0,11.0,14.0,16.0,15.0,13.0,hungary
1,2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,0.0,0.0,me Montenegro,,,72.0,6761.0,Dominik Szoboszlai,3-4-3,Jesús Gil,Match Report,,9.0,1.0,2.0,19.0,14.0,21.0,5.0,8.0,hungary
2,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,lt Lithuania,,,72.0,58274.0,Dominik Szoboszlai,3-4-3,António Nobre,Match Report,,27.0,10.0,3.0,9.0,8.0,26.0,3.0,8.0,hungary
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,1.0,rs Serbia,,,46.0,6924.0,Dominik Szoboszlai,3-4-3,Juan Martínez,Match Report,,9.0,3.0,2.0,15.0,5.0,9.0,9.0,7.0,hungary
4,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,1.0,rs Serbia,,,36.0,58215.0,Dominik Szoboszlai,3-4-3,François Letexier,Match Report,,10.0,4.0,4.0,8.0,6.0,12.0,6.0,3.0,hungary
5,2023-10-17,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,2.0,2.0,lt Lithuania,,,65.0,5349.0,Dominik Szoboszlai,3-4-3,Juxhin Xhaja,Match Report,,18.0,8.0,2.0,10.0,16.0,27.0,7.0,12.0,hungary
6,2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,D,2.0,2.0,bg Bulgaria,,,59.0,230.0,Dominik Szoboszlai,3-4-1-2,Daniel Stefański,Match Report,,20.0,5.0,3.0,14.0,13.0,25.0,6.0,3.0,hungary
7,2023-11-19,15:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,3.0,1.0,me Montenegro,,,62.0,59600.0,Dominik Szoboszlai,3-4-3,Danny Makkelie,Match Report,,14.0,5.0,4.0,12.0,21.0,34.0,10.0,15.0,hungary
8,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,1.0,0.0,tr Türkiye,,,,58000.0,Dominik Szoboszlai,3-4-3,Bartosz Frankowski,Match Report,,,,2.0,,,,,,hungary
9,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,0.0,xk Kosovo,,,,57000.0,Dominik Szoboszlai,3-4-3,Ovidiu Hațegan,Match Report,,,,0.0,,,,,,hungary
10,2024-06-04,19:45,Friendlies (M),Friendlies (M),Tue,Away,L,1.0,2.0,ie Rep. of Ireland,,,,29424.0,Dominik Szoboszlai,3-4-3,Luís Godinho,Match Report,,,,2.0,,,,,,hungary
11,2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Home,W,3.0,0.0,il Israel,,,,19900.0,Dominik Szoboszlai,3-4-3,Cláudio Pereira,Match Report,,,,3.0,,,,,,hungary
12,2024-06-15,15:00,UEFA Euro,Group stage,Sat,Home,L,1.0,3.0,ch Switzerland,1.3,2.3,49.0,41676.0,Dominik Szoboszlai,3-4-3,Slavko Vinčič,Match Report,,6.0,2.0,2.0,9.0,12.0,20.0,5.0,11.0,hungary
13,2024-06-19,18:00,UEFA Euro,Group stage,Wed,Away,L,0.0,2.0,de Germany,1.0,1.5,31.0,54000.0,Dominik Szoboszlai,3-4-3,Danny Makkelie,Match Report,,11.0,3.0,4.0,10.0,12.0,14.0,5.0,6.0,hungary
14,2024-06-23,21:00,UEFA Euro,Group stage,Sun,Away,,,,sct Scotland,,,,,,,,Head-to-Head,,,,,,,,,,hungary
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2.0,0.0,lt Lithuania,,,60.0,21125.0,Dušan Tadić,3-4-3,Lawrence Visser,Match Report,,15.0,4.0,0.0,15.0,6.0,23.0,12.0,8.0,serbia
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,2.0,0.0,me Montenegro,,,65.0,9831.0,Dušan Tadić,3-4-3,Clément Turpin,Match Report,,10.0,2.0,2.0,13.0,16.0,14.0,6.0,7.0,serbia
2,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,1.0,1.0,bg Bulgaria,,,68.0,6700.0,Dušan Tadić,3-4-3,Craig Pawson,Match Report,,10.0,2.0,3.0,14.0,16.0,28.0,7.0,13.0,serbia
3,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1.0,2.0,hu Hungary,,,55.0,6924.0,Dušan Tadić,3-4-1-2,Juan Martínez,Match Report,,15.0,3.0,0.0,5.0,14.0,29.0,10.0,6.0,serbia
4,2023-09-10,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,3.0,1.0,lt Lithuania,,,65.0,8586.0,Dušan Tadić,3-4-3,Sascha Stegemann,Match Report,,13.0,5.0,3.0,9.0,16.0,17.0,8.0,7.0,serbia
5,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,1.0,2.0,hu Hungary,,,64.0,58215.0,Aleksandar Mitrović,3-4-3,François Letexier,Match Report,,16.0,6.0,2.0,7.0,8.0,32.0,0.0,6.0,serbia
6,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,1.0,me Montenegro,,,64.0,25884.0,Dušan Tadić,3-4-3,Szymon Marciniak,Match Report,,19.0,7.0,1.0,18.0,13.0,29.0,7.0,13.0,serbia
7,2023-11-19,15:00,UEFA Euro Qualifying,Group stage,Sun,Home,D,2.0,2.0,bg Bulgaria,,,58.0,7325.0,Dušan Tadić,3-4-3,Erik Lambrechts,Match Report,,18.0,8.0,1.0,12.0,9.0,42.0,7.0,13.0,serbia
8,2024-03-25,19:00,Friendlies (M),Friendlies (M),Mon,Away,W,1.0,0.0,cy Cyprus,,,,2100.0,Aleksandar Mitrović,3-4-3,Marco Di Bello,Match Report,,,,1.0,,,,,,serbia
9,2024-06-04,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1.0,2.0,at Austria,,,,37800.0,Dušan Tadić,4-2-3-1,António Nobre,Match Report,,,,1.0,,,,,,serbia
10,2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Away,W,3.0,0.0,se Sweden,,,,46956.0,Aleksandar Mitrović,3-5-2,Jasper Vergoote,Match Report,,,,3.0,,,,,,serbia
11,2024-06-16,21:00,UEFA Euro,Group stage,Sun,Home,L,0.0,1.0,eng England,0.2,0.5,47.0,48953.0,Aleksandar Mitrović,3-4-3,Daniele Orsato,Match Report,,6.0,1.0,3.0,19.0,7.0,19.0,5.0,10.0,serbia
12,2024-06-20,15:00,UEFA Euro,Group stage,Thu,Away,,,,si Slovenia,,,,,,,,Head-to-Head,,,,,,,,,,serbia
13,2024-06-25,21:00,UEFA Euro,Group stage,Tue,Away,,,,dk Denmark,,,,,,,,Head-to-Head,,,,,,,,,,serbia
0,2023-03-24,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,W,1,0,bg Bulgaria,,,37.0,9180.0,Stefan Savić,4-3-3,Əliyar Ağayev,Match Report,,15.0,6.0,1.0,12.0,7.0,18.0,13.0,11.0,montenegro
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,2,rs Serbia,,,35.0,9831.0,Stevan Jovetić,3-5-2,Clément Turpin,Match Report,,10.0,2.0,1.0,16.0,13.0,13.0,6.0,9.0,montenegro
2,2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,0,0,hu Hungary,,,28.0,6761.0,Stevan Jovetić,3-5-2,Jesús Gil,Match Report,,14.0,3.0,4.0,14.0,18.0,24.0,5.0,9.0,montenegro
3,2023-09-07,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,D,2,2,lt Lithuania,,,49.0,11328.0,Stefan Savić,4-4-2,Mohammed Al Hakim,Match Report,,14.0,6.0,1.0,10.0,15.0,20.0,7.0,12.0,montenegro
4,2023-09-10,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,1,bg Bulgaria,,,47.0,4232.0,Stefan Savić,3-5-2,Harm Osmers,Match Report,,9.0,5.0,5.0,10.0,13.0,16.0,10.0,10.0,montenegro
5,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,3,rs Serbia,,,36.0,25884.0,Stevan Jovetić,3-5-2,Szymon Marciniak,Match Report,,9.0,3.0,3.0,13.0,18.0,16.0,7.0,8.0,montenegro
6,2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,lt Lithuania,,,49.0,3647.0,Stevan Jovetić,4-4-2,Artur Soares Dias,Match Report,,18.0,9.0,5.0,18.0,19.0,23.0,18.0,8.0,montenegro
7,2023-11-19,15:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,1,3,hu Hungary,,,38.0,59600.0,Stevan Jovetić,3-5-2,Danny Makkelie,Match Report,,7.0,6.0,7.0,21.0,12.0,19.0,6.0,10.0,montenegro
8,2024-03-21,20:00,Friendlies (M),Friendlies (M),Thu,Neutral,W,2,0,by Belarus,,,,,Stevan Jovetić,4-2-3-1,Kadir Sağlam,Match Report,,,,0.0,,,,,,montenegro
9,2024-03-25,18:00,Friendlies (M),Friendlies (M),Mon,Neutral,W,1,0,mk N. Macedonia,,,,250.0,Stevan Jovetić,4-2-3-1,Zorbay Küçük,Match Report,,,,3.0,,,,,,montenegro
10,2024-06-05,20:30,Friendlies (M),Friendlies (M),Wed,Away,L,0,2,be Belgium,,,,19246.0,Stevan Jovetić,4-2-3-1,Kristoffer Karlsson,Match Report,,,,3.0,,,,,,montenegro
11,2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Home,L,1,3,ge Georgia,,,,3500.0,Stefan Mugoša,4-2-2-2,Aleksandar Stavrev,Match Report,,,,1.0,,,,,,montenegro
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0,2,rs Serbia,,,40.0,21125.0,Fiodor Černych,4-1-4-1,Lawrence Visser,Match Report,,6.0,3.0,1.0,6.0,14.0,14.0,11.0,12.0,lithuania
1,2023-06-17,16:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,1,1,bg Bulgaria,,,32.0,14230.0,Fiodor Černych,4-2-3-1,Jakob A. Sundberg,Match Report,,4.0,1.0,2.0,8.0,8.0,9.0,10.0,9.0,lithuania
2,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,2,hu Hungary,,,28.0,58274.0,Linas Klimavičius,5-3-2,António Nobre,Match Report,,9.0,2.0,3.0,8.0,9.0,6.0,8.0,10.0,lithuania
3,2023-09-07,19:00,UEFA Euro Qualifying,Group stage,Thu,Home,D,2,2,me Montenegro,,,51.0,11328.0,Edvinas Girdvainis,4-2-3-1,Mohammed Al Hakim,Match Report,,14.0,4.0,1.0,15.0,10.0,18.0,7.0,14.0,lithuania
4,2023-09-10,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,1,3,rs Serbia,,,35.0,8586.0,Fiodor Černych,4-2-3-1,Sascha Stegemann,Match Report,,6.0,3.0,2.0,17.0,9.0,8.0,17.0,5.0,lithuania
5,2023-10-14,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,0,bg Bulgaria,,,57.0,6916.0,Fiodor Černych,3-4-3,Giorgi Kruashvili,Match Report,,11.0,4.0,1.0,14.0,11.0,6.0,10.0,10.0,lithuania
6,2023-10-17,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,D,2,2,hu Hungary,,,35.0,5349.0,Fiodor Černych,3-4-3,Juxhin Xhaja,Match Report,,7.0,4.0,4.0,18.0,10.0,9.0,19.0,16.0,lithuania
7,2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,2,me Montenegro,,,51.0,3647.0,Fiodor Černych,5-4-1,Artur Soares Dias,Match Report,,6.0,1.0,3.0,20.0,17.0,14.0,7.0,7.0,lithuania
0,2023-03-24,19:00,UEFA Euro Qualifying,Group stage,Fri,Home,L,0,1,me Montenegro,,,63.0,9180.0,Kiril Despodov,3-5-2,Əliyar Ağayev,Match Report,,9.0,3.0,0.0,7.0,11.0,14.0,11.0,16.0,bulgaria
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,3,hu Hungary,,,45.0,53000.0,Kiril Despodov,5-3-2,Halil Umut Meler,Match Report,,7.0,2.0,0.0,14.0,10.0,11.0,9.0,11.0,bulgaria
2,2023-06-17,16:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,lt Lithuania,,,69.0,14230.0,Kiril Despodov,5-4-1,Jakob A. Sundberg,Match Report,,27.0,9.0,1.0,9.0,8.0,59.0,9.0,1.0,bulgaria
3,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,D,1,1,rs Serbia,,,32.0,6700.0,Kiril Despodov,4-4-2,Craig Pawson,Match Report,,7.0,2.0,3.0,17.0,14.0,9.0,11.0,10.0,bulgaria
4,2023-09-10,18:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,1,2,me Montenegro,,,53.0,4232.0,Kiril Despodov,3-4-3,Harm Osmers,Match Report,,15.0,7.0,2.0,13.0,10.0,16.0,15.0,7.0,bulgaria
5,2023-10-14,19:00,UEFA Euro Qualifying,Group stage,Sat,Home,L,0,2,lt Lithuania,,,43.0,6916.0,Kiril Despodov,3-4-3,Giorgi Kruashvili,Match Report,,12.0,4.0,6.0,12.0,14.0,17.0,7.0,7.0,bulgaria
6,2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Home,D,2,2,hu Hungary,,,41.0,230.0,Kiril Despodov,4-3-3,Daniel Stefański,Match Report,,3.0,2.0,4.0,14.0,12.0,5.0,8.0,7.0,bulgaria
7,2023-11-19,15:00,UEFA Euro Qualifying,Group stage,Sun,Away,D,2,2,rs Serbia,,,42.0,7325.0,Kiril Despodov,4-1-4-1,Erik Lambrechts,Match Report,,4.0,2.0,1.0,10.0,12.0,6.0,11.0,10.0,bulgaria
8,2024-06-04,21:30,Friendlies (M),Friendlies (M),Tue,Away,D,0,0,ro Romania,,,,19000.0,Kiril Despodov,4-1-4-1,Atilla Karaoğlan,Match Report,,,,1.0,,,,,,bulgaria
9,2024-06-08,15:00,Friendlies (M),Friendlies (M),Sat,Away,D,1,1,si Slovenia,,,,11037.0,Kiril Despodov,4-1-4-1,Arda Kardeşler,Match Report,,,,0.0,,,,,,bulgaria
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,1.0,fi Finland,,,58.0,35851.0,Simon Kjær,4-3-1-2,Daniel Siebert,Match Report,,18.0,10.0,2.0,9.0,8.0,15.0,13.0,10.0,denmark
1,2023-03-26,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,2.0,3.0,kz Kazakhstan,,,61.0,28697.0,Simon Kjær,4-3-3,Novak Simović,Match Report,,14.0,7.0,1.0,6.0,15.0,7.0,8.0,4.0,denmark
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,1.0,0.0,nir Northern Ireland,,,68.0,35701.0,Simon Kjær,4-2-3-1,Daniel Stefański,Match Report,,13.0,5.0,0.0,9.0,16.0,34.0,3.0,10.0,denmark
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1.0,1.0,si Slovenia,,,63.0,14382.0,Simon Kjær,3-4-3,François Letexier,Match Report,,10.0,2.0,1.0,12.0,7.0,29.0,4.0,6.0,denmark
4,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4.0,0.0,sm San Marino,,,85.0,36262.0,Simon Kjær,4-3-3,Vitālijs Spasjoņņikovs,Match Report,,32.0,6.0,0.0,7.0,8.0,53.0,7.0,12.0,denmark
5,2023-09-10,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,1.0,0.0,fi Finland,,,64.0,32571.0,Kasper Schmeichel,4-2-3-1,Szymon Marciniak,Match Report,,16.0,6.0,4.0,6.0,9.0,23.0,9.0,10.0,denmark
6,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,1.0,kz Kazakhstan,,,64.0,35845.0,Simon Kjær,3-4-1-2,Michael Oliver,Match Report,,18.0,4.0,2.0,5.0,11.0,14.0,2.0,7.0,denmark
7,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2.0,1.0,sm San Marino,,,82.0,2984.0,Simon Kjær,4-3-3,Viktor Kopievskii,Match Report,,10.0,3.0,1.0,10.0,14.0,21.0,6.0,12.0,denmark
8,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2.0,1.0,si Slovenia,,,66.0,35608.0,Kasper Schmeichel,5-3-2,Sánchez Santos,Match Report,,12.0,8.0,1.0,13.0,13.0,28.0,9.0,4.0,denmark
9,2023-11-20,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,2.0,nir Northern Ireland,,,80.0,17366.0,Kasper Schmeichel,4-3-3,Jérôme Brisard,Match Report,,14.0,3.0,2.0,8.0,5.0,39.0,5.0,13.0,denmark
10,2024-03-23,20:00,Friendlies (M),Friendlies (M),Sat,Home,D,0.0,0.0,ch Switzerland,,,,30731.0,Simon Kjær,3-4-1-2,Allard Lindhout,Match Report,,,,2.0,,,,,,denmark
11,2024-03-26,20:15,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,0.0,fo Faroe Islands,,,,17332.0,Pierre Højbjerg,4-1-4-1,Philip Farrugia,Match Report,,,,0.0,,,,,,denmark
12,2024-06-05,19:00,Friendlies (M),Friendlies (M),Wed,Home,W,2.0,1.0,se Sweden,,,,35522.0,Pierre Højbjerg,3-4-1-2,Kristoffer Hagenes,Match Report,,,,0.0,,,,,,denmark
13,2024-06-08,19:30,Friendlies (M),Friendlies (M),Sat,Home,W,3.0,1.0,no Norway,,,,23390.0,Kasper Schmeichel,3-4-3,Stéphanie Frappart,Match Report,,,,1.0,,,,,,denmark
14,2024-06-16,18:00,UEFA Euro,Group stage,Sun,Away,D,1.0,1.0,si Slovenia,1.7,1.1,67.0,54000.0,Kasper Schmeichel,3-4-1-2,Sandro Schärer,Match Report,,16.0,4.0,1.0,9.0,11.0,25.0,5.0,2.0,denmark
15,2024-06-20,18:00,UEFA Euro,Group stage,Thu,Home,,,,eng England,,,,,,,,Head-to-Head,,,,,,,,,,denmark
16,2024-06-25,21:00,UEFA Euro,Group stage,Tue,Home,,,,rs Serbia,,,,,,,,Head-to-Head,,,,,,,,,,denmark
0,2023-03-23,21:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,1.0,kz Kazakhstan,,,60.0,27122.0,Jan Oblak,4-4-2,Glenn Nyberg,Match Report,,15.0,6.0,1.0,11.0,16.0,18.0,8.0,9.0,slovenia
1,2023-03-26,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,sm San Marino,,,76.0,10282.0,Jan Oblak,4-4-2,Nathan Verboomen,Match Report,,25.0,5.0,0.0,13.0,7.0,24.0,3.0,10.0,slovenia
2,2023-06-16,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,L,0.0,2.0,fi Finland,,,58.0,32560.0,Jaka Bijol,4-2-2-2,Guillermo Cuadra,Match Report,,14.0,2.0,1.0,9.0,8.0,22.0,7.0,9.0,slovenia
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1.0,1.0,dk Denmark,,,37.0,14382.0,Jaka Bijol,4-4-2,François Letexier,Match Report,,6.0,2.0,1.0,7.0,9.0,15.0,7.0,3.0,slovenia
